title,payment_amount,title,customer_name,rental_date,return_date,replacement_cost,first_name,staff_name,city,country,store_id,col,USA
WHALE BIKINI,8.99,WHALE BIKINI,APRIL BURNS,2005-05-25 00:09:02.000,2005-06-02 20:56:02.000,11.99,Jon,JonStephens,Dundee,United Kingdom,2,Above Avg,Other
GAMES BOWFINGER,4.99,GAMES BOWFINGER,DEANNA BYRD,2005-05-25 00:19:27.000,2005-05-30 05:44:27.000,17.99,Jon,JonStephens,Tuguegarao,Philippines,2,Above Avg,Other
KING EVOLUTION,6.99,KING EVOLUTION,RAYMOND MCWHORTER,2005-05-25 00:22:55.000,2005-05-30 04:28:55.000,24.99,Mike,MikeHillyer,Sumqayit,Azerbaijan,1,Above Avg,Other
MONTEREY LABYRINTH,0.99,MONTEREY LABYRINTH,THEODORE CULP,2005-05-25 00:31:15.000,2005-05-26 02:56:15.000,13.99,Mike,MikeHillyer,Uluberia,India,1,Below Avg,Other
PELICAN COMFORTS,9.99,PELICAN COMFORTS,RONALD WEINER,2005-05-25 00:39:22.000,2005-06-03 03:30:22.000,17.99,Mike,MikeHillyer,San Felipe del Progreso,Mexico,1,Above Avg,Other
BOOGIE AMELIE,4.99,BOOGIE AMELIE,STEVEN CURLEY,2005-05-25 00:43:11.000,2005-05-26 04:42:11.000,11.99,Jon,JonStephens,Miraj,India,2,Above Avg,Other
CONTACT ANONYMOUS,2.99,CONTACT ANONYMOUS,ISAAC OGLESBY,2005-05-25 01:06:36.000,2005-05-27 00:43:36.000,10.99,Mike,MikeHillyer,Cuernavaca,Mexico,1,Below Avg,Other
ROMAN PUNK,0.99,ROMAN PUNK,RUTH MARTINEZ,2005-05-25 01:10:47.000,2005-05-31 06:35:47.000,28.99,Jon,JonStephens,Kimberley,South Africa,2,Below Avg,Other
HOLLOW JEOPARDY,4.99,HOLLOW JEOPARDY,RONNIE RICKETTS,2005-05-25 01:17:24.000,2005-05-31 06:00:24.000,25.99,Mike,MikeHillyer,Ziguinchor,Senegal,1,Above Avg,Other
SCISSORHANDS SLUMS,2.99,SCISSORHANDS SLUMS,ROBERTA HARPER,2005-05-25 01:48:41.000,2005-05-27 02:20:41.000,13.99,Jon,JonStephens,Shahr-e Kord,Iran,2,Below Avg,Other
APACHE DIVINE,4.99,APACHE DIVINE,CRAIG MORRELL,2005-05-25 01:59:46.000,2005-05-26 01:01:46.000,16.99,Jon,JonStephens,Cavite,Philippines,2,Above Avg,Other
CLOSER BANG,4.99,CLOSER BANG,RAUL FORTIER,2005-05-25 02:19:23.000,2005-05-26 04:52:23.000,12.99,Jon,JonStephens,Chapra,India,2,Above Avg,Other
WHALE BIKINI,4.99,WHALE BIKINI,BARRY LOVELACE,2005-05-25 02:40:21.000,2005-05-29 06:34:21.000,11.99,Mike,MikeHillyer,Kitwe,Zambia,1,Above Avg,Other
REDS POCUS,4.99,REDS POCUS,JUAN FRALEY,2005-05-25 02:53:02.000,2005-05-27 01:15:02.000,23.99,Mike,MikeHillyer,Teboksary,Russian Federation,1,Above Avg,Other
SUN CONFESSIONS,0.99,SUN CONFESSIONS,PAMELA BAKER,2005-05-25 03:21:20.000,2005-05-27 21:25:20.000,9.99,Jon,JonStephens,Nanyang,China,2,Below Avg,Other
WAIT CIDER,3.99,WAIT CIDER,BILLY POULIN,2005-05-25 03:36:50.000,2005-05-31 00:34:50.000,9.99,Mike,MikeHillyer,Cabuyao,Philippines,1,Below Avg,Other
EASY GLADIATOR,4.99,EASY GLADIATOR,ROBERT BAUGHMAN,2005-05-25 03:41:50.000,2005-05-30 01:13:50.000,12.99,Jon,JonStephens,Kaliningrad,Russian Federation,2,Above Avg,Other
THIEF PELICAN,4.99,THIEF PELICAN,CONSTANCE REID,2005-05-25 03:42:37.000,2005-05-26 09:26:37.000,28.99,Jon,JonStephens,Zaria,Nigeria,2,Above Avg,Other
CHAINSAW UPTOWN,0.99,CHAINSAW UPTOWN,MARIE TURNER,2005-05-25 03:47:12.000,2005-05-30 00:31:12.000,25.99,Jon,JonStephens,Lipetsk,Russian Federation,2,Below Avg,Other
SONG HEDWIG,2.99,SONG HEDWIG,RAY HOULE,2005-05-25 04:01:32.000,2005-05-30 03:12:32.000,29.99,Mike,MikeHillyer,Dzerzinsk,Russian Federation,1,Below Avg,Other
WITCHES PANIC,4.99,WITCHES PANIC,FRED WHEAT,2005-05-25 04:05:17.000,2005-05-30 07:15:17.000,10.99,Mike,MikeHillyer,Jurez,Mexico,1,Above Avg,Other
STALLION SUNDANCE,0.99,STALLION SUNDANCE,JOY GEORGE,2005-05-25 04:06:21.000,2005-05-25 23:55:21.000,23.99,Mike,MikeHillyer,Botosani,Romania,1,Below Avg,Other
GOLDMINE TYCOON,0.99,GOLDMINE TYCOON,KAY CALDWELL,2005-05-25 04:18:51.000,2005-05-27 03:58:51.000,20.99,Mike,MikeHillyer,Yantai,China,1,Below Avg,Other
MICROCOSMOS PARADISE,2.99,MICROCOSMOS PARADISE,FREDDIE DUGGAN,2005-05-25 04:19:28.000,2005-05-29 00:10:28.000,22.99,Jon,JonStephens,Sullana,Peru,2,Below Avg,Other
ENEMY ODDS,4.99,ENEMY ODDS,ROBERTO VU,2005-05-25 04:24:36.000,2005-05-27 07:02:36.000,23.99,Jon,JonStephens,Yinchuan,China,2,Above Avg,Other
ESCAPE METROPOLIS,2.99,ESCAPE METROPOLIS,BONNIE HUGHES,2005-05-25 04:36:26.000,2005-05-29 00:31:26.000,20.99,Mike,MikeHillyer,Cheju,South Korea,1,Below Avg,Other
BORROWERS BEDAZZLED,0.99,BORROWERS BEDAZZLED,JAVIER ELROD,2005-05-25 04:44:31.000,2005-05-29 01:03:31.000,22.99,Mike,MikeHillyer,NDjamna,Chad,1,Below Avg,Other
MANCHURIAN CURTAIN,4.99,MANCHURIAN CURTAIN,MICHAEL SILVERMAN,2005-05-25 04:47:44.000,2005-06-01 00:58:44.000,27.99,Mike,MikeHillyer,Tiefa,China,1,Above Avg,Other
WIND PHANTOM,0.99,WIND PHANTOM,GERTRUDE CASTILLO,2005-05-25 04:51:46.000,2005-05-31 03:14:46.000,12.99,Jon,JonStephens,Nuuk,Greenland,2,Below Avg,Other
MINDS TRUMAN,4.99,MINDS TRUMAN,MARVIN YEE,2005-05-25 05:09:04.000,2005-05-27 23:12:04.000,22.99,Mike,MikeHillyer,Berhampore (Baharampur),India,1,Above Avg,Other
GRIT CLOCKWORK,5.99,GRIT CLOCKWORK,YVONNE WATKINS,2005-05-25 05:12:29.000,2005-06-02 00:28:29.000,21.99,Mike,MikeHillyer,Ocumare del Tuy,Venezuela,1,Above Avg,Other
BOILED DARES,4.99,BOILED DARES,HARVEY GUAJARDO,2005-05-25 05:24:58.000,2005-05-31 02:47:58.000,13.99,Jon,JonStephens,Vinh,Vietnam,2,Above Avg,Other
MASSAGE IMAGE,2.99,MASSAGE IMAGE,NEIL RENNER,2005-05-25 05:39:25.000,2005-05-26 06:54:25.000,11.99,Jon,JonStephens,Cam Ranh,Vietnam,2,Below Avg,Other
PIRATES ROXANNE,0.99,PIRATES ROXANNE,GERTRUDE CASTILLO,2005-05-25 05:53:23.000,2005-05-29 10:56:23.000,20.99,Jon,JonStephens,Nuuk,Greenland,2,Below Avg,Other
HARRY IDAHO,7.99,HARRY IDAHO,TROY QUIGLEY,2005-05-25 05:59:39.000,2005-06-02 09:56:39.000,18.99,Jon,JonStephens,Vancouver,Canada,2,Above Avg,Other
RIDGEMONT SUBMARINE,5.99,RIDGEMONT SUBMARINE,MARIA MILLER,2005-05-25 06:04:08.000,2005-06-02 08:18:08.000,28.99,Jon,JonStephens,Kragujevac,Yugoslavia,2,Above Avg,Other
JAWS HARRY,3.99,JAWS HARRY,VIRGINIA GREEN,2005-05-25 06:05:20.000,2005-05-30 03:04:20.000,10.99,Mike,MikeHillyer,Toulouse,France,1,Below Avg,Other
GUN BONNIE,1.99,GUN BONNIE,JENNY CASTRO,2005-05-25 06:20:46.000,2005-06-02 05:42:46.000,27.99,Mike,MikeHillyer,Ponce,Puerto Rico,1,Below Avg,Other
PACIFIC AMISTAD,2.99,PACIFIC AMISTAD,GENE SANBORN,2005-05-25 06:39:35.000,2005-05-30 10:12:35.000,27.99,Jon,JonStephens,Salala,Oman,2,Below Avg,Other
HOPE TOOTSIE,2.99,HOPE TOOTSIE,CAROL GARCIA,2005-05-25 06:44:53.000,2005-05-28 11:28:53.000,22.99,Jon,JonStephens,Kaduna,Nigeria,2,Below Avg,Other
ELF MURDER,4.99,ELF MURDER,MABEL HOLLAND,2005-05-25 06:49:10.000,2005-05-26 06:42:10.000,19.99,Mike,MikeHillyer,Monywa,Myanmar,1,Above Avg,Other
TALENTED HOMICIDE,0.99,TALENTED HOMICIDE,EDGAR RHOADS,2005-05-25 06:51:29.000,2005-05-31 01:27:29.000,9.99,Jon,JonStephens,Eskisehir,Turkey,2,Below Avg,Other
ELEPHANT TROJAN,4.99,ELEPHANT TROJAN,DAVE GARDINER,2005-05-25 07:19:16.000,2005-05-27 05:19:16.000,24.99,Jon,JonStephens,Leshan,China,2,Above Avg,Other
MUSKETEERS WAIT,4.99,MUSKETEERS WAIT,TONI HOLT,2005-05-25 07:23:25.000,2005-06-01 05:05:25.000,17.99,Jon,JonStephens,Roanoke,United States,2,Above Avg,USA
DREAM PICKUP,2.99,DREAM PICKUP,MONICA HICKS,2005-05-25 08:26:13.000,2005-05-30 10:57:13.000,18.99,Mike,MikeHillyer,Mukateve,Ukraine,1,Below Avg,Other
EYES DRIVING,2.99,EYES DRIVING,CHESTER BENNER,2005-05-25 08:28:11.000,2005-05-26 14:21:11.000,13.99,Mike,MikeHillyer,Suihua,China,1,Below Avg,Other
SUBMARINE BED,4.99,SUBMARINE BED,JENNIFER DAVIS,2005-05-25 08:43:32.000,2005-05-29 06:42:32.000,21.99,Jon,JonStephens,Laredo,United States,2,Above Avg,USA
PELICAN COMFORTS,4.99,PELICAN COMFORTS,MATTHEW MAHAN,2005-05-25 08:53:14.000,2005-05-28 14:40:14.000,17.99,Mike,MikeHillyer,Cuautla,Mexico,1,Above Avg,Other
OCTOBER SUBMARINE,5.99,OCTOBER SUBMARINE,MANUEL MURRELL,2005-05-25 08:56:42.000,2005-06-01 09:52:42.000,10.99,Mike,MikeHillyer,Jaffna,Sri Lanka,1,Above Avg,Other
BINGO TALENTED,2.99,BINGO TALENTED,GORDON ALLARD,2005-05-25 08:58:25.000,2005-05-30 14:14:25.000,22.99,Mike,MikeHillyer,Hodeida,Yemen,1,Below Avg,Other
TRUMAN CRAZY,5.99,TRUMAN CRAZY,JO FOWLER,2005-05-25 09:01:57.000,2005-06-02 07:22:57.000,9.99,Jon,JonStephens,Oyo,Nigeria,2,Above Avg,Other
BEACH HEARTBREAKERS,2.99,BEACH HEARTBREAKERS,CHAD CARBONE,2005-05-25 09:18:52.000,2005-05-30 10:55:52.000,16.99,Mike,MikeHillyer,Katihar,India,1,Below Avg,Other
SWEETHEARTS SUSPECTS,0.99,SWEETHEARTS SUSPECTS,MARTIN BALES,2005-05-25 09:19:16.000,2005-05-27 04:24:16.000,13.99,Mike,MikeHillyer,Namibe,Angola,1,Below Avg,Other
ALLEY EVOLUTION,5.99,ALLEY EVOLUTION,HARRY ARCE,2005-05-25 09:21:29.000,2005-06-03 11:31:29.000,23.99,Mike,MikeHillyer,Najafabad,Iran,1,Above Avg,Other
SECRET GROUNDHOG,4.99,SECRET GROUNDHOG,ARTHUR SIMPKINS,2005-05-25 09:32:03.000,2005-05-29 14:21:03.000,11.99,Mike,MikeHillyer,Maikop,Russian Federation,1,Above Avg,Other
DRUMLINE CYCLONE,1.99,DRUMLINE CYCLONE,JACQUELINE LONG,2005-05-25 09:35:12.000,2005-05-29 04:16:12.000,14.99,Jon,JonStephens,Songkhla,Thailand,2,Below Avg,Other
BANGER PINOCCHIO,0.99,BANGER PINOCCHIO,SHERRY MARSHALL,2005-05-25 09:41:01.000,2005-05-27 13:46:01.000,15.99,Jon,JonStephens,Shubra al-Khayma,Egypt,2,Below Avg,Other
TEEN APOLLO,7.99,TEEN APOLLO,SYLVIA ORTIZ,2005-05-25 09:47:31.000,2005-05-31 10:20:31.000,25.99,Jon,JonStephens,Dos Quebradas,Colombia,2,Above Avg,Other
PURPLE MOVIE,2.99,PURPLE MOVIE,RICHARD MCCRARY,2005-05-25 10:10:14.000,2005-05-27 14:02:14.000,9.99,Jon,JonStephens,Arlington,United States,2,Below Avg,USA
INVASION CYCLONE,2.99,INVASION CYCLONE,BEVERLY BROOKS,2005-05-25 10:15:23.000,2005-05-27 05:56:23.000,12.99,Jon,JonStephens,Chiayi,Taiwan,2,Below Avg,Other
LOATHING LEGALLY,0.99,LOATHING LEGALLY,ROBIN HAYES,2005-05-25 10:26:39.000,2005-05-28 04:59:39.000,29.99,Mike,MikeHillyer,Jelets,Russian Federation,1,Below Avg,Other
JUGGLER HARDLY,0.99,JUGGLER HARDLY,ANN EVANS,2005-05-25 10:52:13.000,2005-05-28 05:52:13.000,14.99,Jon,JonStephens,Niznekamsk,Russian Federation,2,Below Avg,Other
CAMELOT VACATION,4.99,CAMELOT VACATION,CLARENCE GAMEZ,2005-05-25 11:00:07.000,2005-06-01 13:56:07.000,26.99,Jon,JonStephens,Izumisano,Japan,2,Above Avg,Other
GREEDY ROOTS,0.99,GREEDY ROOTS,JENNIE TERRY,2005-05-25 11:09:48.000,2005-05-26 12:23:48.000,14.99,Jon,JonStephens,Olomouc,Czech Republic,2,Below Avg,Other
ROSES TREASURE,8.99,ROSES TREASURE,BEN EASTER,2005-05-25 11:13:34.000,2005-06-03 12:58:34.000,23.99,Mike,MikeHillyer,Kamyin,Russian Federation,1,Above Avg,Other
PATIENT SISTER,2.99,PATIENT SISTER,MARY SMITH,2005-05-25 11:30:37.000,2005-06-03 12:00:37.000,29.99,Jon,JonStephens,Sasebo,Japan,2,Below Avg,Other
ENTRAPMENT SATISFACTION,0.99,ENTRAPMENT SATISFACTION,JIM REA,2005-05-25 11:31:59.000,2005-05-26 16:53:59.000,19.99,Jon,JonStephens,El Fuerte,Mexico,2,Below Avg,Other
THIEF PELICAN,5.99,THIEF PELICAN,JUANITA MASON,2005-05-25 11:35:18.000,2005-05-31 12:48:18.000,28.99,Jon,JonStephens,Pune,India,2,Above Avg,Other
RESERVOIR ADAPTATION,4.99,RESERVOIR ADAPTATION,COURTNEY DAY,2005-05-25 12:11:07.000,2005-06-03 10:54:07.000,29.99,Jon,JonStephens,Uijongbu,South Korea,2,Above Avg,Other
MADIGAN DORADO,5.99,MADIGAN DORADO,GEORGE LINTON,2005-05-25 12:12:07.000,2005-05-31 17:46:07.000,20.99,Jon,JonStephens,Sorocaba,Brazil,2,Above Avg,Other
METROPOLIS COMA,6.99,METROPOLIS COMA,VELMA LUCAS,2005-05-25 12:15:19.000,2005-06-02 14:08:19.000,9.99,Jon,JonStephens,Effon-Alaiye,Nigeria,2,Above Avg,Other
FARGO GANDHI,6.99,FARGO GANDHI,JESUS MCCARTNEY,2005-05-25 12:17:46.000,2005-06-01 10:48:46.000,28.99,Mike,MikeHillyer,Guaruj,Brazil,1,Above Avg,Other
BUCKET BROTHERHOOD,4.99,BUCKET BROTHERHOOD,MONICA HICKS,2005-05-25 12:30:15.000,2005-05-27 15:40:15.000,27.99,Mike,MikeHillyer,Mukateve,Ukraine,1,Above Avg,Other
HANKY OCTOBER,2.99,HANKY OCTOBER,LESTER KRAUS,2005-05-25 12:36:30.000,2005-05-29 18:33:30.000,26.99,Mike,MikeHillyer,Kanchrapara,India,1,Below Avg,Other
BUCKET BROTHERHOOD,4.99,BUCKET BROTHERHOOD,VINCENT RALSTON,2005-05-25 13:05:34.000,2005-05-29 16:53:34.000,27.99,Mike,MikeHillyer,Allende,Mexico,1,Above Avg,Other
JUMPING WRATH,1.99,JUMPING WRATH,NORA HERRERA,2005-05-25 13:36:12.000,2005-05-30 14:53:12.000,18.99,Mike,MikeHillyer,Salzburg,Austria,1,Below Avg,Other
GANDHI KWAI,0.99,GANDHI KWAI,ERIC ROBERT,2005-05-25 13:52:43.000,2005-05-29 11:12:43.000,9.99,Jon,JonStephens,Santa F,Argentina,2,Below Avg,Other
JEEPERS WEDDING,3.99,JEEPERS WEDDING,HEATHER MORRIS,2005-05-25 14:13:54.000,2005-05-29 09:32:54.000,29.99,Jon,JonStephens,Nagareyama,Japan,2,Below Avg,Other
ISLAND EXORCIST,2.99,ISLAND EXORCIST,MARC OUTLAW,2005-05-25 14:28:29.000,2005-05-29 14:33:29.000,23.99,Mike,MikeHillyer,Brindisi,Italy,1,Below Avg,Other
PANKY SUBMARINE,7.99,PANKY SUBMARINE,DEBORAH WALKER,2005-05-25 14:31:25.000,2005-06-01 10:07:25.000,19.99,Mike,MikeHillyer,Shikarpur,Pakistan,1,Above Avg,Other
ANTHEM LUKE,6.99,ANTHEM LUKE,MARGIE WADE,2005-05-25 14:57:22.000,2005-06-01 18:32:22.000,16.99,Mike,MikeHillyer,Lengshuijiang,China,1,Above Avg,Other
COMFORTS RUSH,5.99,COMFORTS RUSH,MICHAEL SILVERMAN,2005-05-25 15:38:46.000,2005-05-31 13:40:46.000,19.99,Jon,JonStephens,Tiefa,China,2,Above Avg,Other
VOYAGE LEGALLY,3.99,VOYAGE LEGALLY,BOBBIE CRAIG,2005-05-25 15:54:16.000,2005-06-03 20:18:16.000,28.99,Mike,MikeHillyer,Valle de Santiago,Mexico,1,Below Avg,Other
GOLDFINGER SENSIBILITY,2.99,GOLDFINGER SENSIBILITY,SUE PETERS,2005-05-25 16:03:42.000,2005-05-30 14:23:42.000,29.99,Mike,MikeHillyer,Changzhou,China,1,Below Avg,Other
ARMAGEDDON LOST,3.99,ARMAGEDDON LOST,BRYAN HARDISON,2005-05-25 16:12:52.000,2005-06-02 18:55:52.000,10.99,Jon,JonStephens,Dallas,United States,2,Below Avg,USA
RUGRATS SHAKESPEARE,1.99,RUGRATS SHAKESPEARE,JOYCE EDWARDS,2005-05-25 16:32:19.000,2005-05-30 10:47:19.000,16.99,Jon,JonStephens,Jedda,Saudi Arabia,2,Below Avg,Other
ENEMY ODDS,4.99,ENEMY ODDS,HILDA HOPKINS,2005-05-25 16:34:24.000,2005-05-28 12:13:24.000,23.99,Jon,JonStephens,Mandaluyong,Philippines,2,Above Avg,Other
PACKER MADIGAN,0.99,PACKER MADIGAN,CASSANDRA WALTERS,2005-05-25 16:48:24.000,2005-05-27 11:29:24.000,20.99,Jon,JonStephens,Salinas,United States,2,Below Avg,USA
CANDLES GRAPES,4.99,CANDLES GRAPES,MARIE TURNER,2005-05-25 16:50:20.000,2005-05-28 18:52:20.000,15.99,Mike,MikeHillyer,Lipetsk,Russian Federation,1,Above Avg,Other
METAL ARMAGEDDON,4.99,METAL ARMAGEDDON,LUCY WHEELER,2005-05-25 16:50:28.000,2005-06-02 22:11:28.000,26.99,Mike,MikeHillyer,Balurghat,India,1,Above Avg,Other
CHAMPION FLATLINERS,6.99,CHAMPION FLATLINERS,TIM CARY,2005-05-25 17:17:04.000,2005-05-31 19:47:04.000,21.99,Mike,MikeHillyer,Bijapur,India,1,Above Avg,Other
BLOOD ARGONAUTS,3.99,BLOOD ARGONAUTS,DOUGLAS GRAF,2005-05-25 17:22:10.000,2005-05-31 19:47:10.000,13.99,Mike,MikeHillyer,Mexicali,Mexico,1,Below Avg,Other
ROBBERS JOON,4.99,ROBBERS JOON,ERNEST STEPP,2005-05-25 17:30:42.000,2005-06-03 22:36:42.000,26.99,Mike,MikeHillyer,Huaian,China,1,Above Avg,Other
VALLEY PACKER,0.99,VALLEY PACKER,DANIEL CABRAL,2005-05-25 17:46:33.000,2005-05-27 15:20:33.000,21.99,Mike,MikeHillyer,Ibirit,Brazil,1,Below Avg,Other
CONFESSIONS MAGUIRE,4.99,CONFESSIONS MAGUIRE,TRACY COLE,2005-05-25 17:54:12.000,2005-05-30 12:03:12.000,25.99,Jon,JonStephens,Huixquilucan,Mexico,2,Above Avg,Other
SHOW LORD,11.99,SHOW LORD,ALMA AUSTIN,2005-05-25 18:18:19.000,2005-06-04 00:01:19.000,24.99,Jon,JonStephens,Mannheim,Germany,2,Above Avg,Other
NETWORK PEAK,6.99,NETWORK PEAK,EDWARD BAUGH,2005-05-25 18:28:09.000,2005-06-03 22:46:09.000,23.99,Jon,JonStephens,Trshavn,Faroe Islands,2,Above Avg,Other
REMEMBER DIARY,2.99,REMEMBER DIARY,GLENDA FRAZIER,2005-05-25 18:30:05.000,2005-05-30 19:40:05.000,15.99,Mike,MikeHillyer,Qinhuangdao,China,1,Below Avg,Other
DISCIPLE MOTHER,1.99,DISCIPLE MOTHER,ANGEL BARCLAY,2005-05-25 18:40:20.000,2005-05-29 20:39:20.000,17.99,Jon,JonStephens,Ueda,Japan,2,Below Avg,Other
TITANS JERK,9.99,TITANS JERK,RUTH MARTINEZ,2005-05-25 18:43:49.000,2005-06-03 18:13:49.000,11.99,Jon,JonStephens,Kimberley,South Africa,2,Above Avg,Other
SNATCH SLIPPER,4.99,SNATCH SLIPPER,COLLEEN BURTON,2005-05-25 18:45:19.000,2005-05-28 17:18:19.000,15.99,Mike,MikeHillyer,Saarbrcken,Germany,1,Above Avg,Other
INTERVIEW LIAISONS,8.99,INTERVIEW LIAISONS,REGINALD KINDER,2005-05-25 18:57:24.000,2005-06-02 20:44:24.000,17.99,Mike,MikeHillyer,Madiun,Indonesia,1,Above Avg,Other
OZ LIAISONS,2.99,OZ LIAISONS,PHYLLIS FOSTER,2005-05-25 19:07:40.000,2005-05-27 22:16:40.000,14.99,Jon,JonStephens,Zalantun,China,2,Below Avg,Other
WOMEN DORADO,3.99,WOMEN DORADO,LESLIE SEWARD,2005-05-25 19:12:42.000,2005-06-01 23:10:42.000,23.99,Mike,MikeHillyer,Pontianak,Indonesia,1,Below Avg,Other
COAST RAINBOW,0.99,COAST RAINBOW,JON WILES,2005-05-25 19:13:25.000,2005-05-29 20:17:25.000,20.99,Mike,MikeHillyer,El Alto,Bolivia,1,Below Avg,Other
WIFE TURN,4.99,WIFE TURN,CAROL GARCIA,2005-05-25 19:27:51.000,2005-05-26 16:23:51.000,27.99,Mike,MikeHillyer,Kaduna,Nigeria,1,Above Avg,Other
VALENTINE VANISHING,0.99,VALENTINE VANISHING,MARIA MILLER,2005-05-25 19:30:46.000,2005-05-31 23:59:46.000,9.99,Jon,JonStephens,Kragujevac,Yugoslavia,2,Below Avg,Other
CROOKED FROGMEN,0.99,CROOKED FROGMEN,JARED ELY,2005-05-25 19:31:18.000,2005-05-31 15:00:18.000,27.99,Mike,MikeHillyer,Purwakarta,Indonesia,1,Below Avg,Other
FALCON VOLUME,4.99,FALCON VOLUME,ALICE STEWART,2005-05-25 19:37:02.000,2005-05-29 23:51:02.000,21.99,Jon,JonStephens,Fontana,United States,2,Above Avg,USA
AIRPORT POLLOCK,5.99,AIRPORT POLLOCK,BRUCE SCHWARZ,2005-05-25 19:37:47.000,2005-06-01 23:29:47.000,15.99,Jon,JonStephens,Okinawa,Japan,2,Above Avg,Other
DISTURBING SCARFACE,2.99,DISTURBING SCARFACE,LEONARD SCHOFIELD,2005-05-25 19:41:29.000,2005-05-29 21:31:29.000,27.99,Mike,MikeHillyer,Tandil,Argentina,1,Below Avg,Other
OPERATION OPERATION,3.99,OPERATION OPERATION,PRISCILLA LOWE,2005-05-25 19:46:21.000,2005-06-02 19:07:21.000,23.99,Mike,MikeHillyer,Salamanca,Mexico,1,Below Avg,Other
GUYS FALCON,4.99,GUYS FALCON,CHRISTINE ROBERTS,2005-05-25 20:26:42.000,2005-05-26 19:41:42.000,20.99,Mike,MikeHillyer,Faaa,French Polynesia,1,Above Avg,Other
BACKLASH UNDEFEATED,6.99,BACKLASH UNDEFEATED,MARIAN MENDOZA,2005-05-25 20:46:11.000,2005-05-30 00:47:11.000,24.99,Jon,JonStephens,Maring,Brazil,2,Above Avg,Other
DARN FORRESTER,5.99,DARN FORRESTER,HARRY ARCE,2005-05-25 20:48:50.000,2005-06-02 21:39:50.000,14.99,Mike,MikeHillyer,Najafabad,Iran,1,Above Avg,Other
HYDE DOCTOR,2.99,HYDE DOCTOR,ALEXANDER FENNELL,2005-05-25 21:07:59.000,2005-05-28 18:51:59.000,11.99,Mike,MikeHillyer,Bergamo,Italy,1,Below Avg,Other
HUNGER ROOF,2.99,HUNGER ROOF,NORMA GONZALES,2005-05-25 21:10:40.000,2005-06-02 21:38:40.000,21.99,Mike,MikeHillyer,Bislig,Philippines,1,Below Avg,Other
VIDEOTAPE ARSENIC,4.99,VIDEOTAPE ARSENIC,AMANDA CARTER,2005-05-25 21:19:53.000,2005-05-29 23:34:53.000,10.99,Mike,MikeHillyer,Nador,Morocco,1,Above Avg,Other
TRADING PINOCCHIO,8.99,TRADING PINOCCHIO,SARAH LEWIS,2005-05-25 21:20:03.000,2005-06-04 01:25:03.000,22.99,Jon,JonStephens,Liepaja,Latvia,2,Above Avg,Other
SUSPECTS QUILLS,3.99,SUSPECTS QUILLS,GLORIA COOK,2005-05-25 21:21:56.000,2005-05-30 22:41:56.000,22.99,Jon,JonStephens,Papeete,French Polynesia,2,Below Avg,Other
CONNECTICUT TRAMP,5.99,CONNECTICUT TRAMP,TIMOTHY BUNN,2005-05-25 21:42:46.000,2005-05-30 23:25:46.000,20.99,Jon,JonStephens,Braslia,Brazil,2,Above Avg,Other
ROCKETEER MOTHER,3.99,ROCKETEER MOTHER,ZACHARY HITE,2005-05-25 21:46:54.000,2005-05-31 21:02:54.000,27.99,Mike,MikeHillyer,Akron,United States,1,Below Avg,USA
